fault_risk_threshold,fault_risk_f1,fault_risk_precision,fault_risk_recall,fault_risk_auc,fault_risk_auprc,congestion_risk_threshold,congestion_risk_f1,congestion_risk_precision,congestion_risk_recall,congestion_risk_auc,congestion_risk_auprc,voltage_violation_threshold,voltage_violation_f1,voltage_violation_precision,voltage_violation_recall,voltage_violation_auc,voltage_violation_auprc,macro_f1,macro_precision,macro_recall,macro_auc,macro_auprc,model,seed
0.4999999999999999,0.8258064516129032,0.7684391080617495,0.8924302788844621,0.9423553926937124,0.8779479555994005,0.65,0.8,0.8,0.8,0.9889812952232264,0.8056941612215408,0.4249999999999999,0.8276497695852535,0.7312703583061889,0.9532908704883228,0.9624942372954528,0.8766990885352168,0.8178187403993856,0.7665698221226461,0.8819070497909283,0.9646103084041306,0.8534470684520526,mlp,11
0.475,0.8296557811120918,0.7448494453248812,0.9362549800796812,0.9449941689408784,0.8871833197938717,0.675,0.7374301675977654,0.7857142857142857,0.6947368421052632,0.9863692316930376,0.7981765737821723,0.4999999999999999,0.8360189573459715,0.7551369863013698,0.9363057324840764,0.9659356704858558,0.891596223066179,0.8010349686852761,0.7619002391135122,0.8557658515563403,0.965766357039924,0.8589853722140743,mlp,22
0.475,0.8283185840707965,0.7452229299363057,0.9322709163346612,0.9466324893590572,0.892400036784608,0.65,0.7395833333333334,0.7319587628865979,0.7473684210526316,0.9837631729065962,0.7825183129148491,0.475,0.8295454545454546,0.7487179487179487,0.929936305732484,0.9679354638765154,0.9039180547570282,0.7991491239831948,0.7419665471802842,0.8698585477065923,0.9661103753807228,0.8596121348188284,mlp,33
0.475,0.822380106571936,0.7419871794871795,0.9223107569721116,0.945075566974302,0.8876863373582786,0.725,0.7311827956989247,0.7472527472527473,0.7157894736842105,0.9878704176299276,0.7771235379674031,0.4499999999999999,0.8327205882352942,0.7341977309562399,0.961783439490446,0.9643228841430416,0.8894564557896983,0.7954278301687183,0.7411458858987222,0.8666278900489227,0.9657562895824237,0.8514221103717934,gcn,11
0.4249999999999999,0.821071752951862,0.7545909849749582,0.900398406374502,0.9297475772985324,0.8391787934884565,0.775,0.7634408602150538,0.7802197802197802,0.7473684210526316,0.9890533521481972,0.7520195817298811,0.3749999999999999,0.8300094966761633,0.7508591065292096,0.9278131634819532,0.9563576315168671,0.8111009531265028,0.8048407032810263,0.761889957241316,0.8585266636363622,0.9583861869878656,0.8007664427816135,gcn,22
0.4499999999999999,0.8243727598566308,0.749185667752443,0.9163346613545816,0.9439685537197422,0.8850206477059996,0.675,0.7368421052631579,0.7368421052631579,0.7368421052631579,0.9879965172486264,0.7684032956793767,0.3999999999999999,0.8229842446709916,0.7302631578947368,0.9426751592356688,0.9626237535983176,0.8780291375125419,0.7947330365969268,0.7387636436367792,0.8652839752844694,0.9648629415222288,0.8438176936326394,gcn,33
0.4999999999999999,0.8337874659400545,0.7662771285475793,0.9143426294820716,0.949041871148393,0.8961529217434917,0.725,0.7731958762886598,0.7575757575757576,0.7894736842105263,0.9895457411354972,0.8046698013244225,0.3999999999999999,0.82277318640955,0.7249190938511327,0.951167728237792,0.9669918450985016,0.8960717836444618,0.8099188428794214,0.7495906599914899,0.8849946806434632,0.9685264857941306,0.8656315022374587,gat,11
0.475,0.8267857142857142,0.7491909385113269,0.9223107569721116,0.9460168242335264,0.8905233149433355,0.7,0.75,0.7752808988764045,0.7263157894736842,0.9903143483351848,0.834449366168587,0.525,0.8288973384030418,0.7504302925989673,0.9256900212314224,0.9615228650239684,0.8747614870810464,0.801894350896252,0.7583007099955662,0.8581055225590729,0.9659513458642266,0.866578056064323,gat,22
0.475,0.8240574506283662,0.75,0.9143426294820716,0.9461589008009568,0.8887236533109463,0.725,0.7446808510638298,0.7526881720430108,0.7368421052631579,0.9900741585852824,0.824056379263333,0.4999999999999999,0.8279158699808795,0.7530434782608696,0.9193205944798302,0.9615336580492072,0.8736100975926523,0.7988847238910252,0.7519105501012935,0.8568351097416865,0.9659222391451486,0.8621300433889773,gat,33
0.575,0.9521871820956256,0.972972972972973,0.9322709163346612,0.9652933585124585,0.9669701775984244,0.75,0.8617021276595744,0.8709677419354839,0.8526315789473684,0.9957846698892124,0.9442794903080038,0.675,0.9687836383207752,0.982532751091703,0.9554140127388536,0.9963889621272743,0.9930176040033192,0.9275576493586584,0.9421578220000532,0.9134388360069612,0.985822330176315,0.9680890906365824,stgcn,11
