epoch,train_loss,val_fault_risk_f1,val_fault_risk_precision,val_fault_risk_recall,val_fault_risk_auc,val_fault_risk_auprc,val_congestion_risk_f1,val_congestion_risk_precision,val_congestion_risk_recall,val_congestion_risk_auc,val_congestion_risk_auprc,val_voltage_violation_f1,val_voltage_violation_precision,val_voltage_violation_recall,val_voltage_violation_auc,val_voltage_violation_auprc,val_macro_f1,val_macro_recall,val_macro_auc,val_macro_auprc
1,0.505928,0.5621716287215411,0.5641476274165202,0.5602094240837696,0.7737056428155904,0.5726096228850411,0.6827906976744186,0.6147403685092128,0.7677824267782427,0.8974698498646321,0.7169971256344562,0.0,0.0,0.0,0.7943537723374513,0.11995889993809593,0.4149874421319866,0.44266395028733746,0.8218430883392246,0.46985521615253106
2,0.430599,0.5716963448922212,0.6174089068825911,0.5322862129144852,0.7706583375468241,0.5764146062703148,0.7009063444108762,0.6757281553398058,0.7280334728033473,0.9095895889736647,0.7279567343442448,0.0,0.0,0.0,0.8117680116362538,0.14090086207566402,0.42420089643436576,0.42010656190594414,0.8306719793855809,0.4817574008967412
3,0.410524,0.5981688708036622,0.7170731707317073,0.5130890052356021,0.7847139991192444,0.5983732295326439,0.7466367713004485,0.8043478260869565,0.696652719665272,0.9101347526458281,0.7311369148319427,0.0,0.0,0.0,0.8129108579848124,0.15438932939649633,0.44826854736803695,0.40324724163362474,0.8359198699166283,0.49463315792036094
4,0.396247,0.594159113796576,0.7023809523809523,0.5148342059336823,0.7821429542278983,0.5944088931392952,0.7381215469613259,0.7822014051522248,0.698744769874477,0.908387275412257,0.7322914574166851,0.0,0.0,0.0,0.8082780800181344,0.13974880099567413,0.44409355358596736,0.4045263252693864,0.8329361032194299,0.48881638385055154
5,0.39159,0.5955284552845529,0.7128953771289538,0.5113438045375218,0.791365877792457,0.599423106302484,0.7447045707915273,0.7971360381861575,0.698744769874477,0.9126458282057593,0.7381770001062526,0.0,0.0,0.0,0.8228470097094716,0.15156185287082022,0.44674434202536006,0.4033628581373329,0.8422862385692292,0.4963873197598523
6,0.387695,0.5961342828077314,0.7146341463414634,0.5113438045375218,0.7907852315788901,0.6027652832071405,0.7429854096520763,0.801452784503632,0.6924686192468619,0.9163469111493969,0.741530922174819,0.0,0.0,0.0,0.8203747780422381,0.15657037753562136,0.4463732308199359,0.4012708079281279,0.8425023069235085,0.5002888609725269
7,0.381491,0.5959595959595959,0.7074340527577938,0.5148342059336823,0.7889340140159733,0.6003586475630119,0.743047830923248,0.7933491686460807,0.698744769874477,0.9158460497169579,0.7422180563307078,0.0,0.0,0.0,0.8245801692545996,0.15901074868907047,0.44633580896094793,0.4045263252693864,0.8431200776625104,0.5005291508609301
8,0.378081,0.5949238578680203,0.7111650485436893,0.5113438045375218,0.7864526757025656,0.6014010305696382,0.7433035714285714,0.7966507177033493,0.696652719665272,0.9139933546640413,0.7413949960545698,0.0,0.0,0.0,0.8281834410064604,0.16004216309485786,0.4460758097655306,0.4026655080675979,0.8428764904576891,0.5009460632396886
9,0.377218,0.5963855421686747,0.7021276595744681,0.518324607329843,0.7902692828366852,0.6039125680502302,0.7422907488986784,0.7837209302325582,0.7050209205020921,0.9149815407334482,0.7455911701677117,0.0,0.0,0.0,0.8352294193207148,0.16149586756801984,0.4462254303557844,0.40778184261064504,0.8468267476302828,0.5036665352619872
10,0.3753,0.6,0.702576112412178,0.5235602094240838,0.7901230339308335,0.6017401809763355,0.7434782608695653,0.7737556561085973,0.7154811715481172,0.917489539748954,0.7506825561461731,0.0,0.0,0.0,0.8285234614076845,0.15188339037292414,0.44782608695652176,0.4130137936574003,0.8453786783624907,0.501435375831811
11,0.373796,0.5959595959595959,0.7074340527577938,0.5148342059336823,0.7924711715679078,0.600646168545076,0.7364939360529217,0.7785547785547785,0.698744769874477,0.9180943883829682,0.756303130687913,0.0,0.0,0.0,0.8324289735161887,0.16595973534567904,0.4441511773375059,0.4045263252693864,0.8476648444890215,0.507636344859556
12,0.369565,0.5984095427435387,0.6951501154734411,0.525305410122164,0.791142970538185,0.6061946905758275,0.7393675027262814,0.7722095671981777,0.7092050209205021,0.9215068914595128,0.7629030380397406,0.0,0.0,0.0,0.8312082058256829,0.16108981998816707,0.44592568182327336,0.4115034770142221,0.8479526892744603,0.510062516201245
13,0.369695,0.5952626158599382,0.7261306532663316,0.5043630017452007,0.792065045424149,0.6016810722120546,0.7480045610034207,0.8220551378446115,0.6861924686192469,0.9124840019689884,0.750235381250332,0.0,0.0,0.0,0.8247407344440666,0.15485969362663246,0.4477557256211197,0.3968518234548159,0.8430965939457348,0.5022587156963396
