epoch,train_loss,val_fault_risk_f1,val_fault_risk_precision,val_fault_risk_recall,val_fault_risk_auc,val_fault_risk_auprc,val_congestion_risk_f1,val_congestion_risk_precision,val_congestion_risk_recall,val_congestion_risk_auc,val_congestion_risk_auprc,val_voltage_violation_f1,val_voltage_violation_precision,val_voltage_violation_recall,val_voltage_violation_auc,val_voltage_violation_auprc,val_macro_f1,val_macro_recall,val_macro_auc,val_macro_auprc
1,0.706285,0.6948402948402949,0.5916317991631799,0.8416666666666667,0.8110354829525233,0.6805311910009124,0.7138211382113822,0.6131284916201117,0.8540856031128404,0.9206730769230769,0.8036823292244829,0.6773378264532435,0.5937961595273265,0.788235294117647,0.8905922320966756,0.6141840925866132,0.6953330865016403,0.8279958546323848,0.8741002639907586,0.6994658709373361
2,0.574651,0.6978381096028154,0.6040034812880766,0.8261904761904761,0.8029259199943057,0.686828131970432,0.7227036395147314,0.6515625,0.811284046692607,0.9209630350194553,0.8057223666248541,0.7,0.6014084507042253,0.8372549019607843,0.8873818592185075,0.5879928534407503,0.706847249705849,0.8249098082812892,0.8704236047440895,0.6935144506786788
3,0.544894,0.7070594774874931,0.6631908237747653,0.7571428571428571,0.8135939390703965,0.7079578304888905,0.7891891891891892,0.8880778588807786,0.7101167315175098,0.9059565343460043,0.7850406414259951,0.7204472843450479,0.6078167115902965,0.884313725490196,0.8902854187238444,0.5782146553788227,0.7388986503405768,0.783857771383521,0.8699452973800818,0.6904043757645694
4,0.532111,0.66785290628707,0.66548463356974,0.6702380952380952,0.8080201437824756,0.7124877164732336,0.7912087912087912,0.9090909090909091,0.7003891050583657,0.8929645409308591,0.7841873358483035,0.7170111287758346,0.6029411764705882,0.884313725490196,0.8894455024215921,0.5784206039121392,0.725357608757232,0.751646975262219,0.8634767290449755,0.6916985520778921
5,0.526896,0.7100723427935448,0.6666666666666666,0.7595238095238095,0.8177152288419105,0.7161176937599723,0.7912087912087912,0.9090909090909091,0.7003891050583657,0.9227086295270877,0.8063112301600798,0.715057915057915,0.5898089171974522,0.907843137254902,0.8960372878168054,0.5995251066489639,0.7387796830200837,0.7892520172790257,0.8788203820619346,0.707318010189672
6,0.513505,0.7050847457627119,0.6709677419354839,0.7428571428571429,0.8230901665598974,0.718847712840232,0.7912087912087912,0.9090909090909091,0.7003891050583657,0.9278436938790782,0.8168716601006741,0.7124600638977636,0.601078167115903,0.8745098039215686,0.8939001739784642,0.5979716009399956,0.7362512002897555,0.772585350612359,0.8816113448058133,0.7112303246269672
7,0.50968,0.703954802259887,0.6698924731182796,0.7416666666666667,0.8239309737347854,0.7193573413345442,0.7912087912087912,0.9090909090909091,0.7003891050583657,0.9319662432654894,0.8387444374366486,0.7153167602245389,0.6051560379918589,0.8745098039215686,0.8915062067992665,0.5919725657047484,0.7368267845644058,0.7721885252155337,0.8824678079331804,0.716691448158647
8,0.506504,0.7181171319102354,0.6646403242147924,0.780952380952381,0.820199391415759,0.7122475677873243,0.7840172786177105,0.8810679611650486,0.7062256809338522,0.9184165481891648,0.8048185271254358,0.7192429022082019,0.6015831134564644,0.8941176470588236,0.8920581182113132,0.5799164100375425,0.7404591042453825,0.7937652363150188,0.8768913526054124,0.6989941683167675
9,0.503935,0.7243066884176182,0.6666666666666666,0.7928571428571428,0.8289037475976939,0.7241428523470712,0.7886089813800657,0.9022556390977443,0.7003891050583657,0.9374228337324155,0.8510013790665945,0.7192429022082019,0.6015831134564644,0.8941176470588236,0.8960913622043541,0.6055366223515515,0.7440528573352952,0.795787964991444,0.8874726478448212,0.7268936179217391
10,0.495945,0.6977272727272728,0.6673913043478261,0.7309523809523809,0.8176440493985337,0.7140068983721344,0.787746170678337,0.9,0.7003891050583657,0.9159741189015265,0.8113431844568513,0.7125700560448359,0.6021650879566982,0.8725490196078431,0.8920157991254055,0.5917043397337316,0.7326811664834819,0.7679635018728632,0.8752113224751552,0.7056848075209058
11,0.49929,0.7122982749026154,0.6687565308254964,0.7619047619047619,0.8204996796925048,0.7136529105190701,0.7869565217391304,0.8916256157635468,0.7042801556420234,0.9248844844357977,0.8266253548950601,0.7156549520766773,0.6037735849056604,0.8784313725490196,0.8935663234118587,0.5947824899782838,0.7383032495728078,0.7815387633652683,0.8796501625133871,0.7116869184641379
12,0.497518,0.7239130434782609,0.666,0.7928571428571428,0.8240862338956509,0.718116308511529,0.7912087912087912,0.9090909090909091,0.7003891050583657,0.9299786272822508,0.8422927619913931,0.7186761229314421,0.6007905138339921,0.8941176470588236,0.8976113227065406,0.6187279022342995,0.7445993192061647,0.795787964991444,0.8838920612948141,0.7263789909124072
13,0.499557,0.722707423580786,0.6673387096774194,0.7880952380952381,0.823517688091679,0.7157843328179005,0.7912087912087912,0.9090909090909091,0.7003891050583657,0.9283522897336127,0.8459517160991216,0.7107569721115538,0.5986577181208054,0.8745098039215686,0.8949123054497579,0.6081043603131031,0.7415577289670437,0.7876647156917241,0.8822607610916832,0.7232801364100417
14,0.490525,0.7141280353200883,0.6656378600823045,0.7702380952380953,0.8217426507224714,0.71156174227589,0.7916666666666666,0.907035175879397,0.7023346303501945,0.931595611343909,0.8472732024597982,0.7179080824088748,0.6023936170212766,0.888235294117647,0.8949869516151784,0.6138190638511024,0.7412342614652099,0.7869360065686456,0.8827750712271863,0.7242180028622635
15,0.489206,0.7092829349638688,0.6652763295099061,0.7595238095238095,0.8189448537262439,0.7098686928474629,0.7882096069868996,0.8980099502487562,0.7023346303501945,0.930497745809638,0.8452600335599305,0.7040650406504065,0.6013888888888889,0.8490196078431372,0.892371984765129,0.6063255421205216,0.733852527533725,0.7702926825723804,0.8806048614336704,0.7204847561759716
16,0.48594,0.7221621621621621,0.6613861386138614,0.7952380952380952,0.8250111217880277,0.7174851901060916,0.7903402854006586,0.906801007556675,0.7003891050583657,0.930714045196049,0.848755408511448,0.7192429022082019,0.6015831134564644,0.8941176470588236,0.8958421498095641,0.6157936905558485,0.7439151165903408,0.7965816157850948,0.883855772264547,0.727344763057796
17,0.485913,0.721081081081081,0.6603960396039604,0.794047619047619,0.8241542992383799,0.7157376348402594,0.7912087912087912,0.9090909090909091,0.7003891050583657,0.9274414939389404,0.8461977331107969,0.7186761229314421,0.6007905138339921,0.8941176470588236,0.8969894672497297,0.6122253520755216,0.7436553317404382,0.7961847903882694,0.8828617534756833,0.7247202400088594
18,0.483994,0.7241379310344828,0.6614173228346457,0.8,0.8276460958075309,0.7147734942934524,0.7916666666666666,0.907035175879397,0.7023346303501945,0.9338755237952708,0.8543155222252754,0.7195600942655145,0.6002621231979031,0.8980392156862745,0.8973480039497813,0.6152819279009134,0.7451215639888881,0.8001246153454896,0.8862898745175277,0.7281236481398804
19,0.485838,0.7244515783841626,0.6579203109815355,0.805952380952381,0.8283676774147627,0.7178952503996904,0.7942386831275721,0.8427947598253275,0.7509727626459144,0.9336849464980546,0.8571796843696974,0.7104,0.6,0.8705882352941177,0.8958010062538204,0.6194981245206175,0.7430300871705783,0.8091711262974709,0.8859512100555458,0.7315243530966683
20,0.485677,0.7215053763440861,0.657843137254902,0.7988095238095239,0.8252162075592568,0.7168857445671266,0.7857142857142857,0.8853658536585366,0.7062256809338522,0.9290678314875787,0.8515210010246053,0.7132644956314536,0.5994659546061415,0.8803921568627451,0.8997460854845537,0.6276350312798976,0.7401613858966085,0.795142453868707,0.8846767081771297,0.7320139256238765
21,0.483825,0.7233814874264313,0.6569484936831875,0.8047619047619048,0.8293308242579542,0.719300859504622,0.792332268370607,0.8752941176470588,0.7237354085603113,0.9360011037114637,0.8618082359492455,0.7186761229314421,0.6007905138339921,0.8941176470588236,0.8963423378943902,0.6246110145155344,0.7447966262428268,0.8075383201270131,0.887224755287936,0.7352400366564673
22,0.481664,0.7248041775456919,0.6455813953488372,0.8261904761904761,0.8301943198804186,0.7192130649191647,0.7791469194312797,0.7597042513863216,0.7996108949416343,0.9369013768332835,0.8606548110651826,0.7186761229314421,0.6007905138339921,0.8941176470588236,0.8975754690365354,0.6230403634158826,0.7408757399694713,0.8399730060636447,0.8882237219167459,0.7343027464667434
23,0.480153,0.7226980728051392,0.6566147859922179,0.8035714285714286,0.8263048081714002,0.7162253388111717,0.7867095391211146,0.8758949880668258,0.7140077821011673,0.9323310292577073,0.856795123830345,0.7166535122336227,0.5997357992073976,0.8901960784313725,0.8992217990313631,0.6226689223305649,0.7420203747199589,0.8025917630346561,0.8859525454868235,0.7318964616573606
24,0.476562,0.7240829346092504,0.654178674351585,0.8107142857142857,0.8299981315396113,0.7193788477560132,0.7754698318496538,0.7887323943661971,0.7626459143968871,0.9335539976803351,0.8582206750010307,0.712,0.6013513513513513,0.8725490196078431,0.8989972727700193,0.6239279096927262,0.7371842554863015,0.8153030732396719,0.8875164673299887,0.7338424774832567
25,0.482248,0.718052738336714,0.6254416961130742,0.8428571428571429,0.8289251014307067,0.7182936843222674,0.7231920199501247,0.6313497822931785,0.8463035019455253,0.9376519941634242,0.8621386702912848,0.7182320441988951,0.6010568031704095,0.8921568627450981,0.8999376969013024,0.6233311128412596,0.719825600828578,0.8604391691825888,0.8888382641651443,0.7345878224849373
