epoch,train_loss,lr,val_fault_risk_threshold,val_fault_risk_f1,val_fault_risk_precision,val_fault_risk_recall,val_fault_risk_auc,val_fault_risk_auprc,val_congestion_risk_threshold,val_congestion_risk_f1,val_congestion_risk_precision,val_congestion_risk_recall,val_congestion_risk_auc,val_congestion_risk_auprc,val_voltage_violation_threshold,val_voltage_violation_f1,val_voltage_violation_precision,val_voltage_violation_recall,val_voltage_violation_auc,val_voltage_violation_auprc,val_macro_f1,val_macro_precision,val_macro_recall,val_macro_auc,val_macro_auprc
1,0.131085,0.0008,0.5,0.8895752895752895,0.8622754491017964,0.9186602870813397,0.9719658762720963,0.9577636049080137,0.5,0.5940054495912807,0.436,0.9316239316239316,0.976334019661576,0.7905983513381368,0.5,0.8776167471819646,0.8623417721518988,0.8934426229508197,0.9787507614078763,0.9588878849016493,0.7870658287828448,0.7202057404178984,0.9145756138853637,0.9756835524471829,0.9024166137159333
2,0.077163,0.0008,0.5,0.8957055214723927,0.8626292466765141,0.9314194577352473,0.9743745485372279,0.9607402703864155,0.5,0.6175637393767706,0.461864406779661,0.9316239316239316,0.980126106642571,0.8197453727016585,0.5,0.8922585794094174,0.8693623639191291,0.9163934426229509,0.9829643263857625,0.9649608572476738,0.8018426134195269,0.7312853391251014,0.9264789439940433,0.9791549938551872,0.9151488334452492
3,0.071811,0.0008,0.5,0.8961748633879781,0.8776758409785933,0.9154704944178629,0.9748147451496733,0.9612357858772891,0.5,0.5962059620596206,0.4365079365079365,0.9401709401709402,0.9847082117446069,0.8534495338357925,0.5,0.8932038834951457,0.8817891373801917,0.9049180327868852,0.983983950846156,0.9667052428052072,0.7951949029809148,0.7319909716222405,0.9201864891252294,0.981168969246812,0.9271301875060963
4,0.068423,0.0008,0.5,0.9007751937984496,0.8763197586726998,0.9266347687400319,0.9748931184337882,0.9613264530810074,0.5,0.6432748538011696,0.4888888888888889,0.9401709401709402,0.9855574812247256,0.8566715777078358,0.5,0.9013632718524459,0.8822605965463108,0.921311475409836,0.9841944966762892,0.9669400492717314,0.8151377731506884,0.7491564147026333,0.9293723947736027,0.9815483654449343,0.9283126933535248
5,0.066837,0.0008,0.5,0.9007751937984496,0.8763197586726998,0.9266347687400319,0.9750080659171567,0.9613945389652716,0.5,0.6547619047619048,0.502283105022831,0.9401709401709402,0.9860166792575805,0.858763433814461,0.5,0.902555910543131,0.8800623052959502,0.9262295081967213,0.9842805688709976,0.9668152112646009,0.8193643363678285,0.752888389663827,0.9310117390358977,0.9817684380152448,0.928991061348111
6,0.065196,0.0008,0.5,0.8993808049535603,0.8736842105263158,0.9266347687400319,0.9749492859540707,0.9616999323675327,0.5,0.6607142857142857,0.5068493150684932,0.9487179487179487,0.98673757079303,0.8622071181329222,0.5,0.9018987341772152,0.8715596330275229,0.9344262295081968,0.9842368706798379,0.9667504845093005,0.8206646082816871,0.7506977195407774,0.936592982322059,0.9819745758089796,0.9302191783365851
7,0.062522,0.0008,0.5,0.8993082244427364,0.8679525222551929,0.9330143540669856,0.9748735251127595,0.9611096671521487,0.5,0.6607142857142857,0.5068493150684932,0.9487179487179487,0.9878139704829481,0.8720671700870819,0.5,0.9086614173228347,0.8742424242424243,0.9459016393442623,0.9843229428745465,0.9666406222616339,0.8228946424932856,0.7496814205220369,0.9425446473763989,0.982336812823418,0.9332724865002883
8,0.062747,0.0008,0.5,0.901930501930502,0.874251497005988,0.9314194577352473,0.9750759894300564,0.9611940229853334,0.5,0.6790123456790124,0.5314009661835749,0.9401709401709402,0.9869498881630598,0.8597207463756318,0.5,0.9089481946624803,0.8719879518072289,0.9491803278688524,0.9842607060568342,0.9663188952905967,0.8299636807573316,0.7592134716655973,0.9402569085916799,0.9820955278833168,0.9290778882171873
9,0.061629,0.0008,0.5,0.9013209013209014,0.8787878787878788,0.9250398724082934,0.9752248986698747,0.9615824100656666,0.5,0.6984126984126984,0.5555555555555556,0.9401709401709402,0.9873547724500931,0.8533148331712979,0.5,0.9052132701421801,0.8734756097560976,0.9393442622950819,0.9844527132604147,0.9667837158627411,0.8349822899585932,0.769273014699844,0.9348516916247718,0.9823441281267943,0.9272269863665685
10,0.060294,0.0008,0.5,0.9024767801857585,0.8766917293233083,0.9298245614035088,0.9748330322493001,0.9609626718457634,0.5,0.6918238993710691,0.5472636815920398,0.9401709401709402,0.9879324732011041,0.8698043857819491,0.5,0.9127725856697819,0.8694362017804155,0.9606557377049181,0.9844169601949204,0.9664685342384536,0.8356910884088699,0.7644638708985879,0.9435504130931224,0.9823941552151082,0.9324118639553888
11,0.061304,0.0008,0.5,0.9061538461538462,0.87518573551263,0.9393939393939394,0.9748774437769654,0.9608546551938515,0.5,0.6832298136645962,0.5365853658536586,0.9401709401709402,0.9874633999417362,0.8557394149711681,0.5,0.9134840218238504,0.8707280832095097,0.9606557377049181,0.9842752721205541,0.96608526329987,0.8342892272140975,0.7608330615252661,0.9467402057565991,0.9822053719464185,0.9275597778216298
12,0.060202,0.0008,0.5,0.9017788089713844,0.8753753753753754,0.9298245614035088,0.9750786018728602,0.9616868751993577,0.5,0.7189542483660131,0.582010582010582,0.9401709401709402,0.9877991576431784,0.8501868610333485,0.5,0.9120622568093385,0.8681481481481481,0.9606557377049181,0.9847771392250855,0.967250700363531,0.8442651047155786,0.7751780351780351,0.9435504130931224,0.9825516329137081,0.9263748121987457
13,0.058785,0.0008,0.5,0.9024767801857585,0.8766917293233083,0.9298245614035088,0.9748865873267788,0.9611999758282398,0.5,0.7166123778501629,0.5789473684210527,0.9401709401709402,0.9876757173117658,0.8408746214749739,0.5,0.9150428682774747,0.8722139673105498,0.9622950819672131,0.9846804735294896,0.9668805750831385,0.8447106754377988,0.7759510216849703,0.944096861180554,0.9824142593893447,0.9229850574621175
14,0.05854,0.0004,0.5,0.9021739130434783,0.8789712556732224,0.9266347687400319,0.9745704817475153,0.9606233237412307,0.5,0.7006369426751592,0.5583756345177665,0.9401709401709402,0.9883521703279069,0.8676091489107807,0.5,0.9136577708006279,0.8765060240963856,0.9540983606557377,0.9843812071294262,0.9660920916210829,0.8388228755064219,0.7712843047624581,0.9403013565222366,0.9824346197349495,0.9314415214243649
15,0.056001,0.0004,0.5,0.9037721324095458,0.8735119047619048,0.9362041467304625,0.9743614863232087,0.9602687534937746,0.5,0.7006369426751592,0.5583756345177665,0.9401709401709402,0.9875621522068662,0.8394405887750357,0.5,0.9114906832298136,0.8657817109144543,0.9622950819672131,0.9842024418019545,0.9656774417479057,0.8386332527715062,0.7658897500647086,0.9462233896228719,0.9820420267773432,0.9217955946722386
16,0.056404,0.0004,0.5,0.9046153846153846,0.8736998514115899,0.937799043062201,0.9742034335335771,0.9600933263043103,0.5,0.6896551724137931,0.5445544554455446,0.9401709401709402,0.9880657887590297,0.8407318051666821,0.5,0.9121989121989122,0.8670605612998523,0.9622950819672131,0.9841891999258455,0.9655811878774251,0.83548982307603,0.7617716227189956,0.9467550217334514,0.9821528074061509,0.9221354397828058
17,0.055,0.0004,0.5,0.9046153846153846,0.8736998514115899,0.937799043062201,0.9741159166996488,0.9597277314536745,0.5,0.7006369426751592,0.5583756345177665,0.9401709401709402,0.9885052363388585,0.8453655099035101,0.5,0.9130434782608695,0.8672566371681416,0.9639344262295082,0.9840620779151991,0.9652025515333996,0.8394319351838044,0.7664440410324994,0.947301469820883,0.9822277436512353,0.923431930963528
18,0.055196,0.0004,0.5,0.9058641975308642,0.8774289985052317,0.9362041467304625,0.9742138833047923,0.9594460121280415,0.5,0.69375,0.5467980295566502,0.9487179487179487,0.9891718141284865,0.8535892268176827,0.5,0.9145962732919255,0.8687315634218289,0.9655737704918033,0.9838594772107312,0.964570658114366,0.83807015694093,0.7643195304945701,0.9501652886467381,0.98241505821467,0.9258686323533635
19,0.055509,0.0004,0.5,0.9044684129429892,0.8748137108792846,0.9362041467304625,0.9742478450612421,0.9595064820517978,0.5,0.7142857142857143,0.5759162303664922,0.9401709401709402,0.9884163593002415,0.8454338051220853,0.5,0.9148606811145511,0.8665689149560117,0.9688524590163935,0.9838197515824042,0.9644592391469544,0.8445382694477516,0.7724329520672629,0.9484091819725987,0.9821613186479626,0.9231331754402792
20,0.055446,0.0004,0.5,0.9058641975308642,0.8774289985052317,0.9362041467304625,0.9741041607070315,0.9592112006726023,0.5,0.7213114754098361,0.5851063829787234,0.9401709401709402,0.9891076251561521,0.8641546447244941,0.5,0.9154383242823895,0.8689248895434463,0.9672131147540983,0.9837124923859213,0.9640971545750099,0.8475379990743632,0.7771534236758004,0.947862733885167,0.9823080927497015,0.9291543333240355
21,0.055738,0.0002,0.5,0.9040247678018576,0.8781954887218045,0.9314194577352473,0.9742400077328306,0.9593989719802095,0.5,0.694006309148265,0.55,0.9401709401709402,0.9887027408691187,0.8537354556629881,0.5,0.9124709527498064,0.8649045521292217,0.9655737704918033,0.9836701183823724,0.9639819496460882,0.8368340098999764,0.7643666802836754,0.9457213894659969,0.9822042889947739,0.9257054590964285
22,0.054568,0.0002,0.5,0.9038759689922481,0.8793363499245852,0.9298245614035088,0.9741786153269406,0.9589212104782959,0.5,0.694006309148265,0.55,0.9401709401709402,0.9892853792333862,0.8528354613291764,0.5,0.9137529137529138,0.8685376661742984,0.9639344262295082,0.9834264678619666,0.9632829148314918,0.8372117306311423,0.7659580053662945,0.9446433092679857,0.9822968208074312,0.9250131955463213
23,0.055193,0.0002,0.5,0.9031758326878389,0.8780120481927711,0.9298245614035088,0.9739983567734765,0.9587381175803815,0.5,0.6894409937888198,0.5414634146341464,0.9487179487179487,0.9895816360287764,0.8600677919769631,0.5,0.9169899146625291,0.8703976435935199,0.9688524590163935,0.9833735003575307,0.963122906763279,0.8365355803797293,0.7632910354734791,0.9491316563792837,0.9823178310532611,0.9273096054402079
24,0.053686,0.0002,0.5,0.9048723897911833,0.8783783783783784,0.9330143540669856,0.9739016963897347,0.9586825468428678,0.5,0.6962025316455697,0.5527638190954773,0.9401709401709402,0.9893890691117727,0.8546264881873948,0.5,0.9153069153069153,0.8700147710487445,0.9655737704918033,0.9834264678619667,0.9632304279046427,0.8387939455812227,0.7670523228408669,0.9462530215765764,0.9822390777878246,0.9255131543116351
25,0.053615,0.0002,0.5,0.9041731066460588,0.8770614692653673,0.9330143540669856,0.9739395768103902,0.9586216750386294,0.5,0.7028753993610224,0.5612244897959183,0.9401709401709402,0.9892360031008212,0.86046778095439,0.5,0.9164086687306502,0.8680351906158358,0.9704918032786886,0.983394687359305,0.9630925327540253,0.8411523915792438,0.7687737165590405,0.9478923658388715,0.9821900890901721,0.9273939962490149
