Configuration,Fault AUC,Congestion AUC,Voltage AUC,Mean AUC,Fault F1,Congestion F1,Voltage F1,Mean F1,Mean AUPRC
Without renewable feature channels,0.7628181641149548,0.9439000607917372,0.6821241475011295,0.7962807908026072,0.5919220055710307,0.7649402390438247,0.21745788667687596,0.5247733770972438,0.5894544426645184
With solar/net-load feature channels,0.8226319563718654,0.9285673012681999,0.8984813687313096,0.883226875457125,0.7032723239046035,0.7762162162162162,0.6861924686192469,0.7218936695800222,0.6903323845273963
