rank,from_bus_name,to_bus_name,attn_mean,attn_std,loading_pct_mean,loading_pct_std,n_sequences
1,2,1,0.9367093773824828,0.0495191825869132,83.78332114590323,33.81822594768332,56
2,6,26,0.9122490169746535,0.0644859009281762,26.225183029505363,10.6434323582047,56
3,3,23,0.8805999457836151,0.096770841749443,20.19644894712049,8.106747033438372,56
4,6,7,0.8665233829191753,0.0818871080323237,20.554640128154144,8.334399355277641,56
5,32,33,0.8338004435811724,0.0904596120420872,1.4318849959197797,0.5815315623351535,56
6,21,22,0.8262351368154798,0.0388648433656938,1.913133299742252,0.7641812385673589,56
7,24,25,0.8135018518992833,0.0770362676535769,9.097827267785034,3.6530917220121113,56
8,17,18,0.8079530011330333,0.101762017096289,1.956208543851805,0.7945348793366099,56
9,2,19,0.7882095128297806,0.1108204450427895,7.650109943647172,3.055021039870101,56
10,3,4,0.7753800994583538,0.0862108885957393,52.15583207786017,21.14268068451318,56
