Model,Fault AUC,Congestion AUC,Voltage AUC,Mean AUC,Mean F1,Mean AUPRC,Mean Recall,Mean F1 (mean),Mean F1 (std),Mean AUC (mean),Mean AUC (std),Mean AUPRC (mean),Mean AUPRC (std),Mean Recall (mean),Mean Recall (std)
MLP,0.943190697119288,0.9861074578473,0.9600043568550958,0.9631008372738946,0.8116446729218444,0.8734614289877826,0.8922555006582108,0.806,0.0103,0.9655,0.0008,0.8573,0.0034,0.8692,0.0131
GCN,0.9440178419015448,0.9890545233966944,0.9584335959389524,0.9638353204123972,0.8150563034428046,0.866902966934482,0.8849706664536102,0.7983,0.0056,0.963,0.004,0.832,0.0273,0.8635,0.0043
GAT,0.945531960957656,0.9934294932013508,0.9605195836337032,0.9664936792642368,0.8429442856149388,0.8907886618115382,0.9377303012367962,0.8036,0.0057,0.9668,0.0015,0.8648,0.0023,0.8666,0.0159
STGCN,0.9651391782122292,0.9974394348505264,0.9960028720847408,0.9861938283824988,0.9288991771298456,0.9744845471085682,0.895841166637069,0.9216,0.0069,0.9874,0.0021,0.9663,0.005,0.8995,0.0122
STGAT-NoGate,0.9653529035418728,0.994379640017822,0.992150494947338,0.9839610128356776,0.905199859876466,0.9610309249178862,0.887548423209488,0.9113,0.0059,0.9813,0.0014,0.9608,0.0014,0.9109,0.0086
ResiliGraph-STGAT,0.970841758598628,0.9947446681733024,0.9904665131257426,0.985350979965891,0.8938743770698476,0.9545882159364616,0.856694058380714,0.9121,0.0066,0.9819,0.0026,0.965,0.0039,0.9208,0.0138
