rank,from_bus,to_bus,from_bus_name,to_bus_name,attn_mean,attn_std,loading_pct_mean,loading_pct_std,n_sequences
1,31,32,32,33,0.5111875326505729,0.027047414704676757,1.4318849959197795,0.5815315623351535,56
2,23,24,24,25,0.5099220313131809,0.0329880032539633,9.097827267785034,3.6530917220121113,56
3,16,17,17,18,0.5061515250376293,0.027678190643208922,1.956208543851805,0.7945348793366099,56
4,26,25,27,26,0.5009875345442977,0.21052914227339944,25.051930703419043,10.168934103790725,56
5,1,2,2,3,0.4963712633720466,0.1835992970752342,73.96918144981571,29.899049809706675,56
6,23,22,24,23,0.49499942269176245,0.26419007267663147,18.19011980100833,7.30225972413406,56
7,20,21,21,22,0.4908823184669018,0.012654152001249636,1.913133299742252,0.7641812385673589,56
8,7,6,8,7,0.487589992582798,0.15461456780001703,18.96632598490933,7.692606099335738,56
9,0,1,1,2,0.47361640845026287,0.1657864155964155,83.78332114590323,33.81822594768332,56
10,1,0,2,1,0.45100323643003193,0.06581343569603086,83.78332114590323,33.81822594768332,56
11,19,18,20,19,0.41956927108445335,0.24333734472131324,5.738430341491778,2.2918619822257913,56
12,28,29,29,30,0.38818553888372015,0.05368463156250092,20.240937800023477,8.218535951328723,56
13,27,26,28,27,0.38702577884708134,0.05423353339535011,23.888326793199017,9.697803718709103,56
14,2,3,3,4,0.38697089574166704,0.05570001609173359,52.15583207786017,21.14268068451318,56
15,16,15,17,16,0.3835730291903019,0.042850311254100354,3.9121876164383798,1.5889510140065128,56
16,20,19,21,20,0.3784580927874361,0.10459282896968539,3.826024325885261,1.5281918686484777,56
17,8,7,9,8,0.37691817592297283,0.03579444305932663,16.49337849063758,6.692360643880888,56
18,27,28,28,29,0.36497373399989946,0.02788248706660692,22.811839893247647,9.261457899150551,56
19,7,8,8,9,0.35782646228160175,0.018971109745083675,16.49337849063758,6.692360643880888,56
20,5,4,6,5,0.3507283308676311,0.033213539845180766,48.04628663197589,19.490632713024553,56
21,24,23,25,24,0.34979410921888693,0.06184200897099388,9.097827267785034,3.6530917220121113,56
22,4,5,5,6,0.34920042221035275,0.10560202297919476,48.04628663197589,19.490632713024553,56
23,15,14,16,15,0.3488582968711853,0.009938002883448963,5.163522917918162,2.097145014003406,56
24,26,27,27,28,0.3484056858079774,0.03024268937173589,23.888326793199017,9.697803718709103,56
25,21,20,22,21,0.3478722364774772,0.017877459028565915,1.913133299742252,0.7641812385673589,56
26,14,13,15,14,0.3469433954783848,0.009698832492957707,6.416197503877991,2.6058396819987806,56
27,17,16,18,17,0.3440685123205185,0.0280881292492246,1.956208543851805,0.7945348793366099,56
28,31,30,32,31,0.34342271089553833,0.014386398362225598,6.038778884780626,2.452487271241263,56
29,29,30,30,31,0.34188247312392506,0.018391194355544902,9.322319301326479,3.78587101701816,56
30,12,11,13,12,0.3418069247688566,0.01681326560542459,10.564632366951047,4.289905148841233,56
31,11,10,12,11,0.3411590339882033,0.013318148687219025,11.937160389478274,4.846709228287409,56
32,10,9,11,10,0.3395296074450016,0.007017823349947126,13.309403094235373,5.403045858751347,56
33,8,9,9,10,0.33835245243140627,0.004899247306069904,14.459821888279665,5.869122383451571,56
34,11,12,12,13,0.3348842114210129,0.01806110545833001,10.564632366951047,4.289905148841233,56
35,12,13,13,14,0.3334446427013193,0.014077056877612433,7.7434079674293885,3.1447502459061614,56
36,10,11,11,12,0.32770669034549166,0.01643022594681832,11.937160389478274,4.846709228287409,56
37,30,31,31,32,0.32633959289108005,0.015724485570708154,6.038778884780626,2.452487271241263,56
38,32,31,33,32,0.32394871009247644,0.0281812822442685,1.4318849959197795,0.5815315623351535,56
39,13,12,14,13,0.32357962482741903,0.021096768675662028,7.7434079674293885,3.1447502459061614,56
40,9,10,10,11,0.3211455712360995,0.010692059640901008,13.309403094235373,5.403045858751347,56
41,3,4,4,5,0.32064792487238136,0.024586357865150437,49.339495543229305,20.011464154728273,56
42,13,14,14,15,0.3121469792510782,0.013659987314510545,6.416197503877991,2.6058396819987806,56
43,28,27,29,28,0.31174955650099684,0.0234375093202046,22.811839893247647,9.261457899150551,56
44,9,8,10,9,0.31135860005659716,0.016303748780082672,14.459821888279665,5.869122383451571,56
45,19,20,20,21,0.31023883047912804,0.028897102184503254,3.826024325885261,1.5281918686484777,56
46,4,3,5,4,0.30805422232619356,0.02808500333873254,49.339495543229305,20.011464154728273,56
47,1,18,2,19,0.30493843116398367,0.1636336741988488,7.650109943647172,3.055021039870101,56
48,14,15,15,16,0.30402922949620653,0.023749428462135583,5.163522917918162,2.097145014003406,56
49,29,28,30,29,0.3035437126777002,0.024606168576714698,20.240937800023477,8.218535951328723,56
50,15,16,16,17,0.2983640411070415,0.032465481010597944,3.9121876164383798,1.5889510140065128,56
51,2,22,3,23,0.2911514602601528,0.17012776366690718,20.19644894712049,8.106747033438372,56
52,18,19,19,20,0.2902272761400257,0.15240417869719394,5.738430341491778,2.2918619822257913,56
53,30,29,31,30,0.28481496098850456,0.04588365897827617,9.322319301326479,3.78587101701816,56
54,5,6,6,7,0.2786801986928497,0.07570189968654323,20.554640128154144,8.334399355277641,56
55,5,25,6,26,0.2727809918911329,0.11636339076244612,26.225183029505363,10.6434323582047,56
56,2,1,3,2,0.25541504472494125,0.031191396900053053,73.96918144981571,29.899049809706675,56
