rank,from_bus_name,to_bus_name,attn_mean,attn_std,loading_pct_mean,loading_pct_std,n_sequences
1,2,1,0.9367093773824828,0.04951918258691323,83.78332114590323,33.81822594768332,56
2,6,26,0.9122490169746535,0.06448590092817624,26.225183029505363,10.6434323582047,56
3,3,23,0.8805999457836151,0.096770841749443,20.19644894712049,8.106747033438372,56
4,6,7,0.8665233829191753,0.08188710803232375,20.554640128154144,8.334399355277641,56
5,32,33,0.8338004435811724,0.0904596120420872,1.4318849959197795,0.5815315623351535,56
6,21,22,0.8262351368154798,0.038864843365693826,1.913133299742252,0.7641812385673589,56
7,24,25,0.8135018518992833,0.0770362676535769,9.097827267785034,3.6530917220121113,56
8,17,18,0.8079530011330333,0.101762017096289,1.956208543851805,0.7945348793366099,56
9,2,19,0.7882095128297806,0.1108204450427895,7.650109943647172,3.055021039870101,56
10,3,4,0.7753800994583538,0.08621088859573936,52.15583207786017,21.14268068451318,56
11,6,5,0.7592727190681866,0.08843106813064046,48.04628663197589,19.490632713024553,56
12,3,2,0.5348107271960804,0.0496527172186119,73.96918144981571,29.899049809706675,56
13,16,17,0.4498897099069187,0.07118352183843706,3.9121876164383798,1.5889510140065128,56
14,2,3,0.4410727960722787,0.03811921799616951,73.96918144981571,29.899049809706675,56
15,20,21,0.4307621791958809,0.040634070312852766,3.826024325885261,1.5281918686484777,56
16,12,13,0.41396663018635343,0.08428262496884575,10.564632366951047,4.289905148841233,56
17,23,24,0.4029098685298647,0.0339765291913658,18.19011980100833,7.30225972413406,56
18,32,31,0.3913623318076134,0.07693839808652574,6.038778884780626,2.452487271241263,56
19,11,12,0.37902902918202536,0.043836124949838864,11.937160389478274,4.846709228287409,56
20,15,16,0.3778944302882467,0.038426988997266716,5.163522917918162,2.097145014003406,56
