rank,from_bus_name,to_bus_name,attn_mean,attn_std,loading_pct_mean,loading_pct_std,n_sequences
1,32,33,0.5111875326505729,0.027047414704676757,1.4318849959197795,0.5815315623351535,56
2,24,25,0.5099220313131809,0.0329880032539633,9.097827267785034,3.6530917220121113,56
3,17,18,0.5061515250376293,0.027678190643208922,1.956208543851805,0.7945348793366099,56
4,27,26,0.5009875345442977,0.21052914227339944,25.051930703419043,10.168934103790725,56
5,2,3,0.4963712633720466,0.1835992970752342,73.96918144981571,29.899049809706675,56
6,24,23,0.49499942269176245,0.26419007267663147,18.19011980100833,7.30225972413406,56
7,21,22,0.4908823184669018,0.012654152001249636,1.913133299742252,0.7641812385673589,56
8,8,7,0.487589992582798,0.15461456780001703,18.96632598490933,7.692606099335738,56
9,1,2,0.47361640845026287,0.1657864155964155,83.78332114590323,33.81822594768332,56
10,2,1,0.45100323643003193,0.06581343569603086,83.78332114590323,33.81822594768332,56
11,20,19,0.41956927108445335,0.24333734472131324,5.738430341491778,2.2918619822257913,56
12,29,30,0.38818553888372015,0.05368463156250092,20.240937800023477,8.218535951328723,56
13,28,27,0.38702577884708134,0.05423353339535011,23.888326793199017,9.697803718709103,56
14,3,4,0.38697089574166704,0.05570001609173359,52.15583207786017,21.14268068451318,56
15,17,16,0.3835730291903019,0.042850311254100354,3.9121876164383798,1.5889510140065128,56
16,21,20,0.3784580927874361,0.10459282896968539,3.826024325885261,1.5281918686484777,56
17,9,8,0.37691817592297283,0.03579444305932663,16.49337849063758,6.692360643880888,56
18,28,29,0.36497373399989946,0.02788248706660692,22.811839893247647,9.261457899150551,56
19,8,9,0.35782646228160175,0.018971109745083675,16.49337849063758,6.692360643880888,56
20,6,5,0.3507283308676311,0.033213539845180766,48.04628663197589,19.490632713024553,56
