epoch,train_loss,val_fault_risk_f1,val_fault_risk_precision,val_fault_risk_recall,val_fault_risk_auc,val_fault_risk_auprc,val_congestion_risk_f1,val_congestion_risk_precision,val_congestion_risk_recall,val_congestion_risk_auc,val_congestion_risk_auprc,val_voltage_violation_f1,val_voltage_violation_precision,val_voltage_violation_recall,val_voltage_violation_auc,val_voltage_violation_auprc,val_macro_f1,val_macro_recall,val_macro_auc,val_macro_auprc
1,0.711918,0.6835919134931829,0.5648795648795649,0.8654761904761905,0.7900228663961848,0.6789208359729199,0.6342465753424658,0.4894291754756871,0.9007782101167315,0.9128979908709967,0.774820060585505,0.6174757281553398,0.6115384615384616,0.6235294117647059,0.8837629896083135,0.6099059517955701,0.6451047389969962,0.7965946041192092,0.8622279489584983,0.687882282784665
2,0.590655,0.7061379684953829,0.6493506493506493,0.7738095238095238,0.8197416186205424,0.7196797634727448,0.7790110998990918,0.8092243186582809,0.7509727626459144,0.9373328064202335,0.8405625401028489,0.6649703138252756,0.585949177877429,0.7686274509803922,0.8825445525932196,0.5824912604724722,0.7167064607399167,0.7644699124786101,0.8798729925446652,0.7142445213493552
3,0.551381,0.681551116333725,0.6728538283062645,0.6904761904761905,0.8154855327781336,0.7118145792013252,0.7912087912087912,0.9090909090909091,0.7003891050583657,0.9085743415145167,0.8001480804698451,0.6925021061499579,0.6070901033973413,0.8058823529411765,0.887048008651902,0.5937119109955875,0.7217540045641581,0.7322492161585776,0.8703692943148508,0.7018915235555859
4,0.541375,0.7056837366347777,0.6691568836712913,0.7464285714285714,0.8215050893302015,0.7237555221130415,0.7912087912087912,0.9090909090909091,0.7003891050583657,0.9309092992367554,0.8303349445984509,0.7132757266300078,0.5950196592398427,0.8901960784313725,0.8913175342079278,0.590744249076479,0.7367227514911923,0.7790045849727699,0.8812439742582949,0.7149449052626572
5,0.522259,0.6982857142857143,0.6714285714285714,0.7273809523809524,0.8143875898640472,0.7172976518798203,0.7912087912087912,0.9090909090909091,0.7003891050583657,0.917743097126609,0.8120669542787488,0.7083993660855784,0.5944148936170213,0.8764705882352941,0.8893214839892791,0.5852570385106547,0.7326312905266946,0.7680802152248707,0.8738173903266451,0.704873881556408
6,0.512571,0.7107162687395892,0.6659729448491155,0.7619047619047619,0.8205619617054595,0.7156392130974835,0.7912087912087912,0.9090909090909091,0.7003891050583657,0.9167679961089494,0.818665915710035,0.711284046692607,0.5896774193548387,0.8960784313725491,0.8926476465886115,0.588499541178821,0.7377363688803292,0.7861240994452255,0.8766592014676734,0.7076015566621132
7,0.513933,0.6970387243735763,0.6681222707423581,0.7285714285714285,0.8201726991244928,0.7155076912451557,0.7891304347826087,0.8940886699507389,0.7062256809338522,0.923102645166118,0.8252092964837701,0.7077922077922078,0.6038781163434903,0.8549019607843137,0.8905052428645319,0.5835349648576815,0.7313204556494642,0.7632330234298648,0.8779268623850477,0.7080839841955356
8,0.501102,0.7224334600760456,0.6643356643356644,0.7916666666666666,0.8246618976439605,0.7225673784665291,0.7912087912087912,0.9090909090909091,0.7003891050583657,0.9341678202633943,0.8435074212761772,0.7192429022082019,0.6015831134564644,0.8941176470588236,0.8950898105045375,0.5947492006703531,0.7442950511643462,0.7953911395946186,0.884639842803964,0.720274666804353
9,0.506153,0.7039911308203991,0.6587136929460581,0.7559523809523809,0.8146909922414407,0.706552615567033,0.7849686847599165,0.8468468468468469,0.7315175097276264,0.9253790500598624,0.8394105468929766,0.7015535568274734,0.6016830294530154,0.8411764705882353,0.8891974655569662,0.5811786358313304,0.7301711241359298,0.7762154537560809,0.8764225026194231,0.7090472660971132
10,0.498059,0.7134894091415831,0.6708595387840671,0.7619047619047619,0.8203840130970176,0.7134145145504356,0.7916666666666666,0.907035175879397,0.7023346303501945,0.9236673619425322,0.8373227841632903,0.7058823529411765,0.5991792065663475,0.8588235294117647,0.8920875064654158,0.5899631307838846,0.7370128095831422,0.7743543072222403,0.8787129605016553,0.7135668098325368
