epoch,train_loss,lr,val_fault_risk_threshold,val_fault_risk_f1,val_fault_risk_precision,val_fault_risk_recall,val_fault_risk_auc,val_fault_risk_auprc,val_congestion_risk_threshold,val_congestion_risk_f1,val_congestion_risk_precision,val_congestion_risk_recall,val_congestion_risk_auc,val_congestion_risk_auprc,val_voltage_violation_threshold,val_voltage_violation_f1,val_voltage_violation_precision,val_voltage_violation_recall,val_voltage_violation_auc,val_voltage_violation_auprc,val_macro_f1,val_macro_precision,val_macro_recall,val_macro_auc,val_macro_auprc
1,0.152543,0.0008,0.5,0.8724216959511077,0.8372434017595308,0.9106858054226475,0.9663582677936744,0.9482047486285086,0.5,0.6337209302325582,0.4801762114537445,0.9316239316239316,0.9689917887491544,0.6801982255802779,0.5,0.8788368336025848,0.8662420382165605,0.8918032786885246,0.9770663947668106,0.9569006068593546,0.7949931532620836,0.7278872171432788,0.9113710052450346,0.9708054837698797,0.8617678603560469
2,0.074239,0.0008,0.5,0.8739867354458364,0.8123287671232877,0.9457735247208932,0.9698249793943574,0.9569322106556738,0.5,0.6206896551724138,0.4675324675324675,0.9230769230769231,0.9800964809630321,0.7750777631421999,0.5,0.8803611738148984,0.8136300417246175,0.9590163934426229,0.9822121878227706,0.9662049681898834,0.791679188144383,0.6978304254601242,0.9426222804134797,0.97737788272672,0.8994049806625858
3,0.065177,0.0008,0.5,0.9135004042037187,0.9262295081967213,0.9011164274322169,0.9751648124853867,0.9671328325996985,0.5,0.6967213114754098,0.6692913385826772,0.7264957264957265,0.9820023996800427,0.7853418597537207,0.5,0.9177631578947368,0.9207920792079208,0.9147540983606557,0.9887834688418655,0.9778160838158988,0.8426616245246218,0.8387709753291065,0.8474554174295331,0.981983560335765,0.9100969253897727
4,0.055683,0.0008,0.5,0.9170506912442397,0.8844444444444445,0.9521531100478469,0.9783193371710118,0.9723423384632902,0.5,0.7473309608540926,0.6402439024390244,0.8974358974358975,0.9884410473665239,0.8771119347058318,0.5,0.921875,0.8805970149253731,0.9672131147540983,0.9910431949998675,0.9821884911602765,0.8620855506994441,0.801761787269614,0.9389340407459476,0.9859345265124677,0.9438809214431328
5,0.049538,0.0008,0.5,0.921644685802948,0.8972809667673716,0.9473684210526315,0.9780319684625906,0.9717471996577316,0.5,0.7428571428571429,0.6380368098159509,0.8888888888888888,0.9883373574881374,0.8878251039726112,0.5,0.9224683544303798,0.8914373088685015,0.9557377049180328,0.9908127863555709,0.9819006106675753,0.8623233943634903,0.8089183618172747,0.9306650049531844,0.9857273707687663,0.947157638099306
6,0.046342,0.0008,0.5,0.9195940671350508,0.900611620795107,0.9393939393939394,0.9774533123815421,0.9723599466627662,0.5,0.6288951841359773,0.4703389830508475,0.9487179487179487,0.9858784260863983,0.8503003034299993,0.5,0.9272581934452439,0.9048361934477379,0.9508196721311475,0.991025980560926,0.9832758566361666,0.8252491482387573,0.7585955990978975,0.9463105200810119,0.9847859063429554,0.9353120355763108
7,0.047952,0.0008,0.5,0.9295081967213115,0.9561551433389545,0.9043062200956937,0.9791618499752471,0.9765157485239853,0.5,0.6384180790960452,0.4767932489451477,0.9658119658119658,0.9872609577982194,0.8704579264792863,0.5,0.9373433583959899,0.9557069846678024,0.919672131147541,0.9933764135702746,0.9879229612860447,0.8350898780711155,0.7962184589839681,0.929930105685067,0.9865997404479137,0.9449655454297722
8,0.044998,0.0008,0.5,0.9330065359477124,0.9564489112227805,0.9106858054226475,0.9793982760489937,0.9764009906820467,0.5,0.7254237288135593,0.601123595505618,0.9145299145299145,0.9895915112552893,0.8967628597423606,0.5,0.9439330543933054,0.9641025641025641,0.9245901639344263,0.993784263354432,0.9889521939507895,0.8674544397181924,0.8405583569436542,0.9166019612956627,0.9875913502195717,0.9540386814583989
9,0.042686,0.0008,0.5,0.9249617151607963,0.8895434462444771,0.9633173843700159,0.9817272688086085,0.978630425956712,0.5,0.7436823104693141,0.64375,0.8803418803418803,0.9893446305924642,0.8895773655807084,0.5,0.9292929292929293,0.8833087149187593,0.980327868852459,0.9942583225191345,0.9886161348858039,0.8659789849743467,0.8055340537210789,0.9413290445214516,0.9884434073067357,0.9522746421410747
10,0.040252,0.0008,0.5,0.9470304975922953,0.9531502423263328,0.9409888357256778,0.9834240504096964,0.9818689068057337,0.5,0.7224080267558528,0.5934065934065934,0.9230769230769231,0.9907765384368503,0.9144514931852755,0.5,0.9543230016313213,0.9496753246753247,0.9590163934426229,0.9960857014221774,0.9923933537559222,0.8745871753264898,0.8320773868027503,0.9410273840817412,0.9900954300895748,0.9629045845823105
