timestep,bus,fault_prob,congestion_prob,voltage_prob,risk_type,recommended_action,explanation,max_risk
0.0,0.0,0.419104516506195,0.3736453950405121,0.5025452971458435,voltage,voltage_regulation_or_reactive_support,Voltage risk is highest; use voltage regulation or reactive power support.,0.5025452971458435
0.0,1.0,0.419104516506195,0.3736453950405121,0.5025452971458435,voltage,voltage_regulation_or_reactive_support,Voltage risk is highest; use voltage regulation or reactive power support.,0.5025452971458435
0.0,2.0,0.419104516506195,0.3736453950405121,0.5025452971458435,voltage,voltage_regulation_or_reactive_support,Voltage risk is highest; use voltage regulation or reactive power support.,0.5025452971458435
0.0,3.0,0.419104516506195,0.3736453950405121,0.5025452971458435,voltage,voltage_regulation_or_reactive_support,Voltage risk is highest; use voltage regulation or reactive power support.,0.5025452971458435
0.0,4.0,0.419104516506195,0.3736453950405121,0.5025452971458435,voltage,voltage_regulation_or_reactive_support,Voltage risk is highest; use voltage regulation or reactive power support.,0.5025452971458435
0.0,5.0,0.419104516506195,0.3736453950405121,0.5025452971458435,voltage,voltage_regulation_or_reactive_support,Voltage risk is highest; use voltage regulation or reactive power support.,0.5025452971458435
0.0,6.0,0.419104516506195,0.3736453950405121,0.5025452971458435,voltage,voltage_regulation_or_reactive_support,Voltage risk is highest; use voltage regulation or reactive power support.,0.5025452971458435
0.0,7.0,0.419104516506195,0.3736453950405121,0.5025452971458435,voltage,voltage_regulation_or_reactive_support,Voltage risk is highest; use voltage regulation or reactive power support.,0.5025452971458435
0.0,8.0,0.419104516506195,0.3736453950405121,0.5025452971458435,voltage,voltage_regulation_or_reactive_support,Voltage risk is highest; use voltage regulation or reactive power support.,0.5025452971458435
0.0,9.0,0.419104516506195,0.3736453950405121,0.5025452971458435,voltage,voltage_regulation_or_reactive_support,Voltage risk is highest; use voltage regulation or reactive power support.,0.5025452971458435
0.0,10.0,0.419104516506195,0.3736453950405121,0.5025452971458435,voltage,voltage_regulation_or_reactive_support,Voltage risk is highest; use voltage regulation or reactive power support.,0.5025452971458435
0.0,11.0,0.419104516506195,0.3736453950405121,0.5025452971458435,voltage,voltage_regulation_or_reactive_support,Voltage risk is highest; use voltage regulation or reactive power support.,0.5025452971458435
0.0,12.0,0.419104516506195,0.3736453950405121,0.5025452971458435,voltage,voltage_regulation_or_reactive_support,Voltage risk is highest; use voltage regulation or reactive power support.,0.5025452971458435
0.0,13.0,0.419104516506195,0.3736453950405121,0.5025452971458435,voltage,voltage_regulation_or_reactive_support,Voltage risk is highest; use voltage regulation or reactive power support.,0.5025452971458435
0.0,14.0,0.419104516506195,0.3736453950405121,0.5025452971458435,voltage,voltage_regulation_or_reactive_support,Voltage risk is highest; use voltage regulation or reactive power support.,0.5025452971458435
0.0,15.0,0.419104516506195,0.3736453950405121,0.5025452971458435,voltage,voltage_regulation_or_reactive_support,Voltage risk is highest; use voltage regulation or reactive power support.,0.5025452971458435
0.0,16.0,0.419104516506195,0.3736453950405121,0.5025452971458435,voltage,voltage_regulation_or_reactive_support,Voltage risk is highest; use voltage regulation or reactive power support.,0.5025452971458435
0.0,17.0,0.419104516506195,0.3736453950405121,0.5025452971458435,voltage,voltage_regulation_or_reactive_support,Voltage risk is highest; use voltage regulation or reactive power support.,0.5025452971458435
0.0,18.0,0.419104516506195,0.3736453950405121,0.5025452971458435,voltage,voltage_regulation_or_reactive_support,Voltage risk is highest; use voltage regulation or reactive power support.,0.5025452971458435
0.0,19.0,0.419104516506195,0.3736453950405121,0.5025452971458435,voltage,voltage_regulation_or_reactive_support,Voltage risk is highest; use voltage regulation or reactive power support.,0.5025452971458435
0.0,20.0,0.419104516506195,0.3736453950405121,0.5025452971458435,voltage,voltage_regulation_or_reactive_support,Voltage risk is highest; use voltage regulation or reactive power support.,0.5025452971458435
0.0,21.0,0.419104516506195,0.3736453950405121,0.5025452971458435,voltage,voltage_regulation_or_reactive_support,Voltage risk is highest; use voltage regulation or reactive power support.,0.5025452971458435
0.0,22.0,0.419104516506195,0.3736453950405121,0.5025452971458435,voltage,voltage_regulation_or_reactive_support,Voltage risk is highest; use voltage regulation or reactive power support.,0.5025452971458435
0.0,23.0,0.419104516506195,0.3736453950405121,0.5025452971458435,voltage,voltage_regulation_or_reactive_support,Voltage risk is highest; use voltage regulation or reactive power support.,0.5025452971458435
